# Pedejas izmainas/Last updated 13.01.2020.
ID,Total
100mX3154Y2671,90
100mX3154Y2672,188
100mX3154Y2673,5
100mX3155Y2539,5
100mX3155Y2573,5
100mX3155Y2578,5
100mX3155Y2584,5
100mX3155Y2586,5
100mX3155Y2589,5
100mX3155Y2592,5
100mX3155Y2613,5
100mX3155Y2614,5
100mX3155Y2640,114
100mX3155Y2641,52
100mX3155Y2643,152
100mX3155Y2645,94
100mX3155Y2646,194
100mX3155Y2647,104
100mX3155Y2649,314
100mX3155Y2650,227
100mX3155Y2651,102
100mX3155Y2652,34
100mX3155Y2653,27
100mX3155Y2654,42
100mX3155Y2655,48
100mX3155Y2656,40
100mX3155Y2657,39
100mX3155Y2658,81
100mX3155Y2659,54
100mX3155Y2660,71
100mX3155Y2661,134
100mX3155Y2662,119
100mX3155Y2663,102
100mX3155Y2664,177
100mX3155Y2665,107
100mX3155Y2666,64
100mX3155Y2667,162
100mX3155Y2668,158
100mX3155Y2669,13
100mX3155Y2670,29
100mX3155Y2671,58
100mX3155Y2672,25
100mX3155Y2684,5
100mX3155Y2688,17
100mX3155Y2689,16
100mX3155Y2693,5
100mX3155Y2694,12
100mX3155Y2695,191
100mX3155Y2696,123
100mX3156Y2496,5
100mX3156Y2503,5
100mX3156Y2539,5
100mX3156Y2544,5
100mX3156Y2545,5
100mX3156Y2560,5
100mX3156Y2574,5
100mX3156Y2587,5
100mX3156Y2588,5
100mX3156Y2595,5
100mX3156Y2612,5
100mX3156Y2640,12
100mX3156Y2641,36
100mX3156Y2643,5
100mX3156Y2644,88
100mX3156Y2645,179
100mX3156Y2646,194
100mX3156Y2647,73
100mX3156Y2650,5
100mX3156Y2651,19
100mX3156Y2652,28
100mX3156Y2653,29
100mX3156Y2654,36
100mX3156Y2655,30
100mX3156Y2656,50
100mX3156Y2657,39
100mX3156Y2658,152
100mX3156Y2659,152
100mX3156Y2660,100
100mX3156Y2661,21
100mX3156Y2662,68
100mX3156Y2663,47
100mX3156Y2664,72
100mX3156Y2665,45
100mX3156Y2666,36
100mX3156Y2667,128
100mX3156Y2668,14
100mX3156Y2669,5
100mX3156Y2670,97
100mX3156Y2671,148
100mX3156Y2672,11
100mX3156Y2678,5
100mX3156Y2682,31
100mX3156Y2683,41
100mX3156Y2686,5
100mX3156Y2688,20
100mX3156Y2689,26
100mX3156Y2692,61
100mX3156Y2693,19
100mX3156Y2694,157
100mX3156Y2695,120
100mX3156Y2696,129
100mX3156Y2697,191
100mX3157Y2550,5
100mX3157Y2585,5
100mX3157Y2586,5
100mX3157Y2590,5
100mX3157Y2592,5
100mX3157Y2601,5
100mX3157Y2613,22
100mX3157Y2614,34
100mX3157Y2615,5
100mX3157Y2644,151
100mX3157Y2645,273
100mX3157Y2646,29
100mX3157Y2647,36
100mX3157Y2648,5
100mX3157Y2653,47
100mX3157Y2654,59
100mX3157Y2655,58
100mX3157Y2656,65
100mX3157Y2657,76
100mX3157Y2658,61
100mX3157Y2659,54
100mX3157Y2660,82
100mX3157Y2661,5
100mX3157Y2662,24
100mX3157Y2663,20
100mX3157Y2664,123
100mX3157Y2665,12
100mX3157Y2666,68
100mX3157Y2667,155
100mX3157Y2668,78
100mX3157Y2669,5
100mX3157Y2670,46
100mX3157Y2671,50
100mX3157Y2677,5
100mX3157Y2678,5
100mX3157Y2679,5
100mX3157Y2680,5
100mX3157Y2682,5
100mX3157Y2683,5
100mX3157Y2684,17
100mX3157Y2687,43
100mX3157Y2690,223
100mX3157Y2692,259
100mX3157Y2693,71
100mX3157Y2694,5
100mX3157Y2695,130
100mX3157Y2696,341
100mX3157Y2697,113
100mX3157Y2698,42
100mX3157Y2699,186
100mX3157Y2700,114
100mX3158Y2499,5
100mX3158Y2500,5
100mX3158Y2576,5
100mX3158Y2577,5
100mX3158Y2592,5
100mX3158Y2597,5
100mX3158Y2600,5
100mX3158Y2605,5
100mX3158Y2612,5
100mX3158Y2614,5
100mX3158Y2641,5
100mX3158Y2642,5
100mX3158Y2643,5
100mX3158Y2644,15
100mX3158Y2645,173
100mX3158Y2646,27
100mX3158Y2647,42
100mX3158Y2648,36
100mX3158Y2649,18
100mX3158Y2650,43
100mX3158Y2651,39
100mX3158Y2652,26
100mX3158Y2653,37
100mX3158Y2654,18
100mX3158Y2655,49
100mX3158Y2656,30
100mX3158Y2657,28
100mX3158Y2658,92
100mX3158Y2659,21
100mX3158Y2660,43
100mX3158Y2661,77
100mX3158Y2663,27
100mX3158Y2664,23
100mX3158Y2665,46
100mX3158Y2666,36
100mX3158Y2667,30
100mX3158Y2668,12
100mX3158Y2669,19
100mX3158Y2670,36
100mX3158Y2671,31
100mX3158Y2675,5
100mX3158Y2676,64
100mX3158Y2677,69
100mX3158Y2678,29
100mX3158Y2679,49
100mX3158Y2680,56
100mX3158Y2690,104
100mX3158Y2692,353
100mX3158Y2693,330
100mX3158Y2694,73
100mX3158Y2696,155
100mX3158Y2697,116
100mX3158Y2698,150
100mX3158Y2699,167
100mX3158Y2700,138
100mX3158Y2701,173
100mX3158Y2717,5
100mX3159Y2503,5
100mX3159Y2592,5
100mX3159Y2597,5
100mX3159Y2599,5
100mX3159Y2600,5
100mX3159Y2608,5
100mX3159Y2613,5
100mX3159Y2635,5
100mX3159Y2641,5
100mX3159Y2642,17
100mX3159Y2645,147
100mX3159Y2646,13
100mX3159Y2647,32
100mX3159Y2648,25
100mX3159Y2649,25
100mX3159Y2650,32
100mX3159Y2651,50
100mX3159Y2652,36
100mX3159Y2653,17
100mX3159Y2654,47
100mX3159Y2655,64
100mX3159Y2656,47
100mX3159Y2657,13
100mX3159Y2658,45
100mX3159Y2659,67
100mX3159Y2660,159
100mX3159Y2661,74
100mX3159Y2663,32
100mX3159Y2664,38
100mX3159Y2665,23
100mX3159Y2666,5
100mX3159Y2667,177
100mX3159Y2668,43
100mX3159Y2669,100
100mX3159Y2670,22
100mX3159Y2671,5
100mX3159Y2674,5
100mX3159Y2675,246
100mX3159Y2676,106
100mX3159Y2677,72
100mX3159Y2678,74
100mX3159Y2679,58
100mX3159Y2680,49
100mX3159Y2681,58
100mX3159Y2683,260
100mX3159Y2684,170
100mX3159Y2690,272
100mX3159Y2692,193
100mX3159Y2693,176
100mX3159Y2696,214
100mX3159Y2697,33
100mX3159Y2699,146
100mX3159Y2700,133
100mX3159Y2710,5
100mX3159Y2716,5
100mX3159Y2717,5
100mX3159Y2718,5
100mX3159Y2719,28
100mX3159Y2720,5
100mX3160Y2594,5
100mX3160Y2601,5
100mX3160Y2602,5
100mX3160Y2603,5
100mX3160Y2605,5
100mX3160Y2606,5
100mX3160Y2638,11
100mX3160Y2639,15
100mX3160Y2640,18
100mX3160Y2641,5
100mX3160Y2642,30
100mX3160Y2643,12
100mX3160Y2645,5
100mX3160Y2646,35
100mX3160Y2647,29
100mX3160Y2648,21
100mX3160Y2649,30
100mX3160Y2650,18
100mX3160Y2651,24
100mX3160Y2652,50
100mX3160Y2653,24
100mX3160Y2654,28
100mX3160Y2655,28
100mX3160Y2656,49
100mX3160Y2657,64
100mX3160Y2658,72
100mX3160Y2659,137
100mX3160Y2660,125
100mX3160Y2661,203
100mX3160Y2662,5
100mX3160Y2663,5
100mX3160Y2664,14
100mX3160Y2668,62
100mX3160Y2669,56
100mX3160Y2670,5
100mX3160Y2674,46
100mX3160Y2675,38
100mX3160Y2676,89
100mX3160Y2677,77
100mX3160Y2678,60
100mX3160Y2679,120
100mX3160Y2680,44
100mX3160Y2681,5
100mX3160Y2691,166
100mX3160Y2692,91
100mX3160Y2693,184
100mX3160Y2694,222
100mX3160Y2696,228
100mX3160Y2697,222
100mX3160Y2698,220
100mX3160Y2699,97
100mX3160Y2710,30
100mX3160Y2711,58
100mX3160Y2714,5
100mX3160Y2716,13
100mX3160Y2717,22
100mX3160Y2718,5
100mX3160Y2719,5
100mX3161Y2603,5
100mX3161Y2604,5
100mX3161Y2614,5
100mX3161Y2638,102
100mX3161Y2639,18
100mX3161Y2640,5
100mX3161Y2641,24
100mX3161Y2642,28
100mX3161Y2643,18
100mX3161Y2644,35
100mX3161Y2645,25
100mX3161Y2646,27
100mX3161Y2647,34
100mX3161Y2648,37
100mX3161Y2649,23
100mX3161Y2650,27
100mX3161Y2651,14
100mX3161Y2652,56
100mX3161Y2653,47
100mX3161Y2654,65
100mX3161Y2655,25
100mX3161Y2656,18
100mX3161Y2657,5
100mX3161Y2658,5
100mX3161Y2659,26
100mX3161Y2660,5
100mX3161Y2661,88
100mX3161Y2662,5
100mX3161Y2663,12
100mX3161Y2664,44
100mX3161Y2668,171
100mX3161Y2669,47
100mX3161Y2670,118
100mX3161Y2673,5
100mX3161Y2674,119
100mX3161Y2675,73
100mX3161Y2676,72
100mX3161Y2677,39
100mX3161Y2678,81
100mX3161Y2679,105
100mX3161Y2680,121
100mX3161Y2681,61
100mX3161Y2687,57
100mX3161Y2693,240
100mX3161Y2694,79
100mX3161Y2695,294
100mX3161Y2696,237
100mX3161Y2697,256
100mX3161Y2699,5
100mX3161Y2708,5
100mX3161Y2709,40
100mX3161Y2711,52
100mX3161Y2713,11
100mX3161Y2716,116
100mX3161Y2717,194
100mX3161Y2718,254
100mX3161Y2719,106
100mX3161Y2720,300
100mX3161Y2721,123
100mX3161Y2725,5
100mX3161Y2726,5
100mX3161Y2730,5
100mX3162Y2606,5
100mX3162Y2635,302
100mX3162Y2636,105
100mX3162Y2637,5
100mX3162Y2638,367
100mX3162Y2640,5
100mX3162Y2641,5
100mX3162Y2643,12
100mX3162Y2644,21
100mX3162Y2645,29
100mX3162Y2646,12
100mX3162Y2647,26
100mX3162Y2648,20
100mX3162Y2649,36
100mX3162Y2650,17
100mX3162Y2651,5
100mX3162Y2652,5
100mX3162Y2654,5
100mX3162Y2655,26
100mX3162Y2656,39
100mX3162Y2657,38
100mX3162Y2658,48
100mX3162Y2659,43
100mX3162Y2661,60
100mX3162Y2662,70
100mX3162Y2663,30
100mX3162Y2664,43
100mX3162Y2665,5
100mX3162Y2666,23
100mX3162Y2669,11
100mX3162Y2670,84
100mX3162Y2672,13
100mX3162Y2674,64
100mX3162Y2675,66
100mX3162Y2676,30
100mX3162Y2677,69
100mX3162Y2678,50
100mX3162Y2679,66
100mX3162Y2680,94
100mX3162Y2681,91
100mX3162Y2684,23
100mX3162Y2685,28
100mX3162Y2686,31
100mX3162Y2687,153
100mX3162Y2688,23
100mX3162Y2689,197
100mX3162Y2690,285
100mX3162Y2691,345
100mX3162Y2692,289
100mX3162Y2693,82
100mX3162Y2694,150
100mX3162Y2695,85
100mX3162Y2696,224
100mX3162Y2698,5
100mX3162Y2699,5
100mX3162Y2701,5
100mX3162Y2708,5
100mX3162Y2709,33
100mX3162Y2710,72
100mX3162Y2711,42
100mX3162Y2713,14
100mX3162Y2714,5
100mX3162Y2715,5
100mX3162Y2716,271
100mX3162Y2717,264
100mX3162Y2719,102
100mX3162Y2720,142
100mX3162Y2721,341
100mX3162Y2732,5
100mX3163Y2606,5
100mX3163Y2608,5
100mX3163Y2637,5
100mX3163Y2638,76
100mX3163Y2639,370
100mX3163Y2640,11
100mX3163Y2645,26
100mX3163Y2646,26
100mX3163Y2647,25
100mX3163Y2648,27
100mX3163Y2649,16
100mX3163Y2650,5
100mX3163Y2651,160
100mX3163Y2652,5
100mX3163Y2653,20
100mX3163Y2654,15
100mX3163Y2655,33
100mX3163Y2656,34
100mX3163Y2657,53
100mX3163Y2658,67
100mX3163Y2659,70
100mX3163Y2660,68
100mX3163Y2661,41
100mX3163Y2662,133
100mX3163Y2664,46
100mX3163Y2665,51
100mX3163Y2666,75
100mX3163Y2667,5
100mX3163Y2668,61
100mX3163Y2669,63
100mX3163Y2670,143
100mX3163Y2673,35
100mX3163Y2674,83
100mX3163Y2675,86
100mX3163Y2676,76
100mX3163Y2677,157
100mX3163Y2678,5
100mX3163Y2679,89
100mX3163Y2680,53
100mX3163Y2681,43
100mX3163Y2682,16
100mX3163Y2684,5
100mX3163Y2685,100
100mX3163Y2686,96
100mX3163Y2687,53
100mX3163Y2689,306
100mX3163Y2690,331
100mX3163Y2691,290
100mX3163Y2692,66
100mX3163Y2693,14
100mX3163Y2694,30
100mX3163Y2695,5
100mX3163Y2699,14
100mX3163Y2708,5
100mX3163Y2709,16
100mX3163Y2710,5
100mX3163Y2712,17
100mX3163Y2713,55
100mX3163Y2714,17
100mX3163Y2716,77
100mX3163Y2717,133
100mX3163Y2719,5
100mX3163Y2720,23
100mX3163Y2721,28
100mX3163Y2722,5
100mX3164Y2635,158
100mX3164Y2637,500
100mX3164Y2638,100
100mX3164Y2639,180
100mX3164Y2640,220
100mX3164Y2643,107
100mX3164Y2644,146
100mX3164Y2645,29
100mX3164Y2646,25
100mX3164Y2647,29
100mX3164Y2648,30
100mX3164Y2649,18
100mX3164Y2650,31
100mX3164Y2651,120
100mX3164Y2652,17
100mX3164Y2653,28
100mX3164Y2654,31
100mX3164Y2655,34
100mX3164Y2656,36
100mX3164Y2657,64
100mX3164Y2658,46
100mX3164Y2659,32
100mX3164Y2660,76
100mX3164Y2661,86
100mX3164Y2662,35
100mX3164Y2663,118
100mX3164Y2664,86
100mX3164Y2665,106
