# Pedejas izmainas/Last updated 09.01.2020.
ID,Total
1kmX323Y219,13
1kmX323Y220,5
1kmX323Y221,5
1kmX323Y222,5
1kmX323Y224,15
1kmX323Y225,5
1kmX323Y226,17
1kmX323Y227,283
1kmX323Y228,53
1kmX323Y229,16
1kmX323Y230,5
1kmX323Y250,17
1kmX323Y266,5
1kmX323Y267,18
1kmX323Y268,32
1kmX323Y269,22
1kmX323Y273,5
1kmX323Y274,5
1kmX323Y275,5
1kmX323Y277,34
1kmX323Y278,5
1kmX323Y279,45
1kmX323Y280,5
1kmX323Y281,12
1kmX323Y282,22
1kmX323Y283,16
1kmX323Y285,5
1kmX323Y290,5
1kmX323Y291,5
1kmX323Y292,5
1kmX324Y221,5
1kmX324Y224,5
1kmX324Y225,11
1kmX324Y226,36
1kmX324Y227,90
1kmX324Y228,27
1kmX324Y229,17
1kmX324Y245,5
1kmX324Y250,5
1kmX324Y252,5
1kmX324Y266,20
1kmX324Y267,17
1kmX324Y268,225
1kmX324Y269,118
1kmX324Y270,5
1kmX324Y271,28
1kmX324Y272,58
1kmX324Y273,30
1kmX324Y274,22
1kmX324Y275,350
1kmX324Y276,76
1kmX324Y277,18
1kmX324Y278,32
1kmX324Y279,28
1kmX324Y280,5
1kmX324Y281,13
1kmX324Y282,5
1kmX324Y283,15
1kmX324Y284,5
1kmX324Y285,57
1kmX324Y292,5
1kmX324Y304,5
1kmX325Y219,5
1kmX325Y220,5
1kmX325Y222,5
1kmX325Y224,5
1kmX325Y225,5
1kmX325Y226,14
1kmX325Y227,17
1kmX325Y228,5
1kmX325Y229,5
1kmX325Y230,34
1kmX325Y231,33
1kmX325Y237,5
1kmX325Y263,12
1kmX325Y264,5
1kmX325Y265,17
1kmX325Y266,27
1kmX325Y267,39
1kmX325Y268,399
1kmX325Y269,941
1kmX325Y270,137
1kmX325Y271,5
1kmX325Y273,5
1kmX325Y274,5
1kmX325Y275,11
1kmX325Y276,11
1kmX325Y277,13
1kmX325Y278,5
1kmX325Y279,5
1kmX325Y280,5
1kmX325Y281,5
1kmX325Y282,5
1kmX325Y283,12
1kmX325Y284,5
1kmX325Y285,60
1kmX325Y286,11
1kmX326Y223,5
1kmX326Y225,5
1kmX326Y226,5
1kmX326Y227,5
1kmX326Y228,5
1kmX326Y229,5
1kmX326Y230,5
1kmX326Y231,22
1kmX326Y232,5
1kmX326Y237,5
1kmX326Y239,5
1kmX326Y240,5
1kmX326Y241,13
1kmX326Y263,58
1kmX326Y264,5
1kmX326Y265,14
1kmX326Y266,28
1kmX326Y267,23
1kmX326Y268,419
1kmX326Y269,1180
1kmX326Y270,41
1kmX326Y271,5
1kmX326Y274,5
1kmX326Y278,5
1kmX326Y279,5
1kmX326Y286,5
1kmX326Y287,13
1kmX326Y288,5
1kmX326Y289,5
1kmX327Y223,5
1kmX327Y224,5
1kmX327Y225,5
1kmX327Y226,5
1kmX327Y227,5
1kmX327Y228,5
1kmX327Y229,5
1kmX327Y230,5
1kmX327Y231,5
1kmX327Y232,14
1kmX327Y233,5
1kmX327Y239,5
1kmX327Y240,5
1kmX327Y241,5
1kmX327Y242,5
1kmX327Y243,5
1kmX327Y245,5
1kmX327Y246,5
1kmX327Y259,5
1kmX327Y262,411
1kmX327Y263,11
1kmX327Y264,14
1kmX327Y265,14
1kmX327Y266,32
1kmX327Y267,41
1kmX327Y268,83
1kmX327Y269,287
1kmX327Y270,11
1kmX327Y271,5
1kmX327Y273,5
1kmX327Y274,5
1kmX327Y276,5
1kmX327Y277,5
1kmX327Y283,5
1kmX327Y284,5
1kmX327Y285,5
1kmX327Y286,51
1kmX327Y287,13
1kmX327Y288,20
1kmX327Y289,34
1kmX327Y308,36
1kmX328Y227,5
1kmX328Y228,12
1kmX328Y229,5
1kmX328Y230,5
1kmX328Y233,5
1kmX328Y234,5
1kmX328Y235,5
1kmX328Y237,12
1kmX328Y242,5
1kmX328Y257,21
1kmX328Y260,5
1kmX328Y262,5
1kmX328Y263,12
1kmX328Y264,15
1kmX328Y265,5
1kmX328Y266,5
1kmX328Y267,5
1kmX328Y268,22
1kmX328Y269,56
1kmX328Y270,5
1kmX328Y272,5
1kmX328Y276,5
1kmX328Y280,5
1kmX328Y281,5
1kmX328Y285,18
1kmX328Y286,30
1kmX328Y287,220
1kmX328Y288,5
1kmX328Y289,23
1kmX328Y303,5
1kmX328Y304,5
1kmX328Y306,5
1kmX328Y307,5
1kmX328Y308,251
1kmX329Y228,5
1kmX329Y229,5
1kmX329Y230,5
1kmX329Y231,5
1kmX329Y233,5
1kmX329Y234,5
1kmX329Y235,5
1kmX329Y236,5
1kmX329Y237,5
1kmX329Y238,172
1kmX329Y239,15
1kmX329Y240,5
1kmX329Y241,5
1kmX329Y243,5
1kmX329Y244,5
1kmX329Y245,5
1kmX329Y247,5
1kmX329Y252,5
1kmX329Y253,27
1kmX329Y254,5
1kmX329Y256,5
1kmX329Y263,5
1kmX329Y264,19
1kmX329Y265,5
1kmX329Y266,5
1kmX329Y267,5
1kmX329Y268,325
1kmX329Y269,16
1kmX329Y270,5
1kmX329Y271,38
1kmX329Y272,5
1kmX329Y274,5
1kmX329Y275,57
1kmX329Y276,5
1kmX329Y278,15
1kmX329Y279,23
1kmX329Y280,5
1kmX329Y281,5
1kmX329Y282,5
1kmX329Y283,5
1kmX329Y285,5
1kmX329Y286,20
1kmX329Y287,26
1kmX329Y288,5
1kmX329Y289,5
1kmX329Y301,5
1kmX329Y302,5
1kmX329Y303,20
1kmX329Y304,34
1kmX329Y305,14
1kmX329Y306,21
1kmX329Y307,369
1kmX329Y308,81
1kmX329Y309,5
1kmX330Y229,5
1kmX330Y233,5
1kmX330Y234,5
1kmX330Y235,5
1kmX330Y237,5
1kmX330Y238,5
1kmX330Y239,5
1kmX330Y251,5
1kmX330Y252,5
1kmX330Y253,5
1kmX330Y261,5
1kmX330Y262,5
1kmX330Y263,5
1kmX330Y264,5
1kmX330Y266,5
1kmX330Y267,5
1kmX330Y268,11
1kmX330Y269,5
1kmX330Y271,19
1kmX330Y272,5
1kmX330Y273,5
1kmX330Y274,5
1kmX330Y276,5
1kmX330Y277,12
1kmX330Y278,5
1kmX330Y280,5
1kmX330Y282,5
1kmX330Y283,5
1kmX330Y284,25
1kmX330Y286,5
1kmX330Y287,5
1kmX330Y288,5
1kmX330Y289,5
1kmX330Y290,5
1kmX330Y298,5
1kmX330Y299,5
1kmX330Y300,5
1kmX330Y302,5
1kmX330Y303,5
1kmX330Y304,14
1kmX330Y305,15
1kmX330Y306,22
1kmX330Y307,75
1kmX330Y308,40
1kmX331Y233,5
1kmX331Y235,5
1kmX331Y236,5
1kmX331Y237,17
1kmX331Y239,5
1kmX331Y244,5
1kmX331Y246,5
1kmX331Y247,5
1kmX331Y248,5
1kmX331Y249,5
1kmX331Y251,5
1kmX331Y252,5
1kmX331Y261,21
1kmX331Y262,5
1kmX331Y263,5
1kmX331Y264,15
1kmX331Y265,5
1kmX331Y266,5
1kmX331Y267,5
1kmX331Y268,18
1kmX331Y270,5
1kmX331Y271,5
1kmX331Y272,5
1kmX331Y274,5
1kmX331Y275,5
1kmX331Y276,27
1kmX331Y277,5
1kmX331Y283,5
1kmX331Y285,11
1kmX331Y286,5
1kmX331Y287,5
1kmX331Y289,5
1kmX331Y291,5
1kmX331Y297,5
1kmX331Y298,5
1kmX331Y304,25
1kmX331Y305,5
1kmX331Y306,5
1kmX331Y307,5
1kmX331Y308,5
1kmX331Y309,5
1kmX331Y310,5
1kmX332Y235,5
1kmX332Y236,5
1kmX332Y237,5
1kmX332Y238,5
1kmX332Y239,5
1kmX332Y241,5
1kmX332Y242,5
1kmX332Y246,5
1kmX332Y247,5
1kmX332Y249,14
1kmX332Y250,5
1kmX332Y261,5
1kmX332Y262,5
1kmX332Y263,5
1kmX332Y264,23
1kmX332Y265,197
1kmX332Y266,5
1kmX332Y267,17
1kmX332Y268,5
1kmX332Y269,5
1kmX332Y270,5
1kmX332Y271,5
1kmX332Y272,5
1kmX332Y273,5
1kmX332Y274,5
1kmX332Y275,5
1kmX332Y277,5
1kmX332Y281,5
1kmX332Y284,5
1kmX332Y286,5
1kmX332Y288,5
1kmX332Y292,5
1kmX332Y294,5
1kmX332Y295,5
1kmX332Y296,5
1kmX332Y297,5
1kmX332Y303,5
1kmX332Y306,5
1kmX332Y309,5
1kmX332Y310,5
1kmX332Y311,11
1kmX333Y236,5
1kmX333Y237,5
1kmX333Y239,5
1kmX333Y240,5
1kmX333Y241,5
1kmX333Y242,5
1kmX333Y245,5
1kmX333Y246,22
1kmX333Y247,5
1kmX333Y248,25
1kmX333Y249,5
1kmX333Y250,5
1kmX333Y259,5
1kmX333Y260,5
1kmX333Y262,5
1kmX333Y263,5
1kmX333Y264,13
1kmX333Y265,18
1kmX333Y267,5
1kmX333Y268,5
1kmX333Y271,5
1kmX333Y272,5
1kmX333Y273,16
1kmX333Y276,5
1kmX333Y278,5
1kmX333Y279,5
1kmX333Y281,5
1kmX333Y282,13
1kmX333Y285,5
1kmX333Y287,5
1kmX333Y289,5
1kmX333Y291,5
1kmX333Y292,5
1kmX333Y293,5
1kmX333Y294,5
1kmX333Y303,5
1kmX333Y304,5
1kmX333Y306,5
1kmX333Y310,5
1kmX333Y311,5
1kmX333Y312,5
1kmX333Y313,5
1kmX334Y238,5
1kmX334Y239,11
1kmX334Y240,23
1kmX334Y241,26
1kmX334Y243,5
1kmX334Y245,5
1kmX334Y246,5
1kmX334Y247,16
1kmX334Y248,222
1kmX334Y249,24
1kmX334Y250,5
1kmX334Y251,5
1kmX334Y262,5
1kmX334Y264,5
1kmX334Y266,5
1kmX334Y267,5
1kmX334Y268,5
1kmX334Y269,5
1kmX334Y270,5
1kmX334Y271,24
1kmX334Y272,5
1kmX334Y273,5
1kmX334Y274,5
1kmX334Y276,5
1kmX334Y277,5
1kmX334Y278,5
1kmX334Y280,30
1kmX334Y281,12
1kmX334Y282,5
1kmX334Y284,5
1kmX334Y286,5
1kmX334Y287,5
1kmX334Y288,14
1kmX334Y289,5
1kmX334Y294,5
1kmX334Y303,5
1kmX334Y308,5
1kmX334Y312,5
1kmX334Y313,19
1kmX335Y234,5
1kmX335Y240,5
1kmX335Y241,5
1kmX335Y242,19
1kmX335Y246,5
1kmX335Y247,5
1kmX335Y248,36
1kmX335Y249,11
1kmX335Y251,5
1kmX335Y260,5
1kmX335Y261,19
1kmX335Y262,5
1kmX335Y263,5
1kmX335Y264,13
1kmX335Y265,5
1kmX335Y271,5
1kmX335Y272,5
1kmX335Y273,61
1kmX335Y274,15
1kmX335Y275,5
